품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
199402362,레프릴정10밀리그람(에날라프릴말레산염)(수출용),19900018,한국코러스(주),백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NaUBmzY5xD,HK,분할선,원형,하양,-,-,-,8.5,8.5,3.25,20080307,2140,혈압강하제,전문의약품,19941001,나정,-,-,-,-,-,-,20240612,2058140116,LeprilTab.10mg,-,8806472001406|8806472001413|8806472001420
199502828,코러스시메티딘정(수출명:TIMODINETAB),19900018,한국코러스(주),연녹색의원형필름코팅정제이다.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200071,HKCT,-,원형,파랑,-,-,-,9.5,9.5,4.4,20071029,2320,소화성궤양용제,전문의약품,19950331,필름코팅정,-,-,-,-,-,-,-,2058140116,-,-,8806472009105|8806472009112|8806472009129|8806472009136
199502829,코러스메페남산정500밀리그람,19900018,한국코러스(주),미황색의필름코팅젱제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732689962500031,Krs·MF500,-,원형,하양,-,-,-,12.5,12.5,6.2,20050901,1140,해열.진통.소염제,전문의약품,19950929,필름코팅정,-,-,-,-,-,-,-,2058140116,-,-,8806472008108|8806472008115|8806472008122
199502832,코러스파모티딘정20밀리그람(수출명:TAMODINETAB),19900018,한국코러스(주),(내수용및수출용)백색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732689962500025,Krs·FM20,-,원형,하양,-,-,-,7,7,3.1,20050901,2320,소화성궤양용제,전문의약품,19950929,필름코팅정,-,-,-,-,-,-,-,2058140116,TAMODINETAB,-,8806472014208|8806472014215|8806472014222
199502841,코러스리팜피신캅셀150밀리그람(수출명:TIMPICINECAP)(수출용),19900018,한국코러스(주),적색분말이충진된상|하적색의경질캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148551988241500163,KrsKrs,-,장방형,빨강,빨강,-,-,17.6,6.07,6.35,20050304,6130,주로항산성균에작용하는것,전문의약품,19951004,경질캡슐제|산제,-,-,-,-,-,-,20260323,2058140116,TIMPICINECAP,-,8806472007606|8806472007613|8806472007620
199502842,코러스리팜피신캡슐300밀리그램(수출용),19900018,한국코러스(주),적색분말이충진된상|하적색의경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151369812688100016,H.KrsH.Krs,-,장방형,연두,빨강,-,-,19.1,6.63,6.91,20051006,6130,주로항산성균에작용하는것,전문의약품,19951004,경질캡슐제|산제,-,-,-,-,-,-,20260323,2058140116,KorusRifampicinCap.300mg,-,8806472007705|8806472007712|8806472007729|8806472007736
199502843,코러스세프라딘캡슐500mg(수출명:1.KeradinCap.2.KoruskeradinCap.3.KHANGCIN5Cap.),19900018,한국코러스(주),내수용:미황색의내용물이든상부청록색|하부미황색의경질캡슐제수출용:미황색의내용물이든상하부연청색의경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317981255600155,KorusKorus,-,장방형,초록,노랑,-,-,21.4,7.33,7.64,20050112,6180,주로그람양성|음성균에작용하는것,전문의약품,19951004,경질캡슐제|산제,-,-,-,-,-,-,20220330,2058140116,1.KeradinCap.2.Koruskeradin,647200860,8806472008603|8806472008610|8806472008627|8806472008634|8806472008641|8806472008658|8806472008665|8806472008672
199502847,타니메이트정(탈니플루메이트)(수출명:TamateTab|TanipainTab.)(수출용),19900018,한국코러스(주),미황색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OjTeG8u8nv,Krs·TM,-,원형,주황,-,-,-,11.15,11.15,4.1,20050901,1140,해열.진통.소염제,전문의약품,19951012,필름코팅정,-,-,-,-,-,-,20240326,2058140116,TanimateTap,-,8806472016806|8806472016813|8806472016820|8806472016837
199502848,코러스니메술리드정(수출명:PacisulideTab|NimedTab.),19900018,한국코러스(주),미황색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1nHG,Krs·Krs,-,원형,노랑,-,-,-,10.9,10.9,4.37,20120413,1140,해열.진통.소염제,전문의약품,19951222,나정,-,-,-,-,-,-,20240221,2058140116,PacisulideTab.,647200670,8806472006708|8806472006715|8806472006722|8806472006739|8806472006746|8806472006753
199603103,코러스염산티클로피딘정100밀리그람(수출명:TicodineTab.)(수출용),19900018,한국코러스(주),미황색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200102,Krs,-,원형,노랑,-,-,-,8.5,8.5,3.5,20050428,3390,기타의혈액및체액용약,전문의약품,19960418,필름코팅정,-,-,-,-,-,-,20100316,2058140116,TicodineTab.,-,8806472012204|8806472012211|8806472012228
